municipality,state,code,variable,value
Escárcega,Campeche,Coutput/pdfs/04009,"Rango de temperatura","26° - 28°C"
Escárcega,Campeche,Coutput/pdfs/04009,"Rango de precipitación","1 100 – 1 500 mm"
Calakmul,Campeche,Coutput/pdfs/04010,"Rango de temperatura","24° - 28°C"
Calakmul,Campeche,Coutput/pdfs/04010,"Rango de precipitación","1 000 – 1 500 mm"
Candelaria,Campeche,Coutput/pdfs/04011,"Rango de temperatura","24° - 28°C"
Candelaria,Campeche,Coutput/pdfs/04011,"Rango de precipitación","1 200 – 2 000 mm"
Abasolo,Coahuila de Zaragoza,Coutput/pdfs/05001,"Rango de temperatura","16 - 24°C"
Abasolo,Coahuila de Zaragoza,Coutput/pdfs/05001,"Rango de precipitación","300 - 500 mm"
Acuña,Coahuila de Zaragoza,Coutput/pdfs/05002,"Rango de temperatura","12 - 22°C"
Acuña,Coahuila de Zaragoza,Coutput/pdfs/05002,"Rango de precipitación","200 - 600 mm"
Allende,Coahuila de Zaragoza,Coutput/pdfs/05003,"Rango de temperatura","20 - 24°C"
Allende,Coahuila de Zaragoza,Coutput/pdfs/05003,"Rango de precipitación","300 - 500 mm"
Arteaga,Coahuila de Zaragoza,Coutput/pdfs/05004,"Rango de temperatura","8 - 20°C"
Arteaga,Coahuila de Zaragoza,Coutput/pdfs/05004,"Rango de precipitación","300 - 700 mm"
Candela,Coahuila de Zaragoza,Coutput/pdfs/05005,"Rango de temperatura","14 - 24°C"
Candela,Coahuila de Zaragoza,Coutput/pdfs/05005,"Rango de precipitación","300 - 500 mm"
Castaños,Coahuila de Zaragoza,Coutput/pdfs/05006,"Rango de temperatura","14 - 22°C"
Castaños,Coahuila de Zaragoza,Coutput/pdfs/05006,"Rango de precipitación","200 - 500 mm"
Cuatro Ciénegas,Coahuila de Zaragoza,Coutput/pdfs/05007,"Rango de temperatura","12 - 22°C"
Cuatro Ciénegas,Coahuila de Zaragoza,Coutput/pdfs/05007,"Rango de precipitación","100 - 600 mm"
Escobedo,Coahuila de Zaragoza,Coutput/pdfs/05008,"Rango de temperatura","18 - 24°C"
Escobedo,Coahuila de Zaragoza,Coutput/pdfs/05008,"Rango de precipitación","300 - 500 mm"
Francisco I. Madero,Coahuila de Zaragoza,Coutput/pdfs/05009,"Rango de temperatura","14 - 20°C"
Francisco I. Madero,Coahuila de Zaragoza,Coutput/pdfs/05009,"Rango de precipitación","100 - 400 mm"
Frontera,Coahuila de Zaragoza,Coutput/pdfs/05010,"Rango de temperatura","18 - 22°C"
Frontera,Coahuila de Zaragoza,Coutput/pdfs/05010,"Rango de precipitación","300 - 500 mm"
General Cepeda,Coahuila de Zaragoza,Coutput/pdfs/05011,"Rango de temperatura","8 - 22°C"
General Cepeda,Coahuila de Zaragoza,Coutput/pdfs/05011,"Rango de precipitación","100 - 700 mm"
Guerrero,Coahuila de Zaragoza,Coutput/pdfs/05012,"Rango de temperatura","20 - 24°C"
Guerrero,Coahuila de Zaragoza,Coutput/pdfs/05012,"Rango de precipitación","300 - 600 mm"
Hidalgo,Coahuila de Zaragoza,Coutput/pdfs/05013,"Rango de temperatura","20 - 24°C"
Hidalgo,Coahuila de Zaragoza,Coutput/pdfs/05013,"Rango de precipitación","400 - 600 mm"
Jiménez,Coahuila de Zaragoza,Coutput/pdfs/05014,"Rango de temperatura","20 - 24°C"
Jiménez,Coahuila de Zaragoza,Coutput/pdfs/05014,"Rango de precipitación","300 - 600 mm"
Juárez,Coahuila de Zaragoza,Coutput/pdfs/05015,"Rango de temperatura","20 - 24°C"
Juárez,Coahuila de Zaragoza,Coutput/pdfs/05015,"Rango de precipitación","300 - 500 mm"
Lamadrid,Coahuila de Zaragoza,Coutput/pdfs/05016,"Rango de temperatura","14 - 22°C"
Lamadrid,Coahuila de Zaragoza,Coutput/pdfs/05016,"Rango de precipitación","200 - 500 mm"
Matamoros,Coahuila de Zaragoza,Coutput/pdfs/05017,"Rango de temperatura","18 - 22°C"
Matamoros,Coahuila de Zaragoza,Coutput/pdfs/05017,"Rango de precipitación","100 - 300 mm"
Monclova,Coahuila de Zaragoza,Coutput/pdfs/05018,"Rango de temperatura","14 - 22°C"
Monclova,Coahuila de Zaragoza,Coutput/pdfs/05018,"Rango de precipitación","300 - 500 mm"
Morelos,Coahuila de Zaragoza,Coutput/pdfs/05019,"Rango de temperatura","20 - 24°C"
Morelos,Coahuila de Zaragoza,Coutput/pdfs/05019,"Rango de precipitación","300 - 500 mm"
Múzquiz,Coahuila de Zaragoza,Coutput/pdfs/05020,"Rango de temperatura","14 - 22°C"
Múzquiz,Coahuila de Zaragoza,Coutput/pdfs/05020,"Rango de precipitación","300 - 700 mm"
Nadadores,Coahuila de Zaragoza,Coutput/pdfs/05021,"Rango de temperatura","16 - 22°C"
Nadadores,Coahuila de Zaragoza,Coutput/pdfs/05021,"Rango de precipitación","300 - 500 mm"
Nava,Coahuila de Zaragoza,Coutput/pdfs/05022,"Rango de temperatura","20 - 24°C"
Nava,Coahuila de Zaragoza,Coutput/pdfs/05022,"Rango de precipitación","400 - 600 mm"
Ocampo,Coahuila de Zaragoza,Coutput/pdfs/05023,"Rango de temperatura","12 - 22°C"
Ocampo,Coahuila de Zaragoza,Coutput/pdfs/05023,"Rango de precipitación","100 - 600 mm"
Parras,Coahuila de Zaragoza,Coutput/pdfs/05024,"Rango de temperatura","12 - 22°C"
Parras,Coahuila de Zaragoza,Coutput/pdfs/05024,"Rango de precipitación","100 - 600 mm"
Piedras Negras,Coahuila de Zaragoza,Coutput/pdfs/05025,"Rango de temperatura","20 - 24°C"
Piedras Negras,Coahuila de Zaragoza,Coutput/pdfs/05025,"Rango de precipitación","400 - 600 mm"
Progreso,Coahuila de Zaragoza,Coutput/pdfs/05026,"Rango de temperatura","16 - 24°C"
Progreso,Coahuila de Zaragoza,Coutput/pdfs/05026,"Rango de precipitación","300 - 500 mm"
Ramos Arizpe,Coahuila de Zaragoza,Coutput/pdfs/05027,"Rango de temperatura","12 - 22°C"
Ramos Arizpe,Coahuila de Zaragoza,Coutput/pdfs/05027,"Rango de precipitación","100 - 600 mm"
Sabinas,Coahuila de Zaragoza,Coutput/pdfs/05028,"Rango de temperatura","20 - 24°C"
Sabinas,Coahuila de Zaragoza,Coutput/pdfs/05028,"Rango de precipitación","300 - 500 mm"
Sacramento,Coahuila de Zaragoza,Coutput/pdfs/05029,"Rango de temperatura","18 - 22°C"
Sacramento,Coahuila de Zaragoza,Coutput/pdfs/05029,"Rango de precipitación","100 - 400 mm"
Saltillo,Coahuila de Zaragoza,Coutput/pdfs/05030,"Rango de temperatura","8 - 22°C"
Saltillo,Coahuila de Zaragoza,Coutput/pdfs/05030,"Rango de precipitación","200 - 700 mm"
San Buenaventura,Coahuila de Zaragoza,Coutput/pdfs/05031,"Rango de temperatura","14 - 22°C"
San Buenaventura,Coahuila de Zaragoza,Coutput/pdfs/05031,"Rango de precipitación","200 - 700 mm"
San Juan de Sabinas,Coahuila de Zaragoza,Coutput/pdfs/05032,"Rango de temperatura","20 - 24°C"
San Juan de Sabinas,Coahuila de Zaragoza,Coutput/pdfs/05032,"Rango de precipitación","400 - 600 mm"
San Pedro,Coahuila de Zaragoza,Coutput/pdfs/05033,"Rango de temperatura","14 - 22°C"
San Pedro,Coahuila de Zaragoza,Coutput/pdfs/05033,"Rango de precipitación","100 - 500 mm"
Sierra Mojada,Coahuila de Zaragoza,Coutput/pdfs/05034,"Rango de temperatura","14 - 22°C"
Sierra Mojada,Coahuila de Zaragoza,Coutput/pdfs/05034,"Rango de precipitación","200 - 500 mm"
Torreón,Coahuila de Zaragoza,Coutput/pdfs/05035,"Rango de temperatura","14 - 22°C"
Torreón,Coahuila de Zaragoza,Coutput/pdfs/05035,"Rango de precipitación","100 - 400 mm"
Viesca,Coahuila de Zaragoza,Coutput/pdfs/05036,"Rango de temperatura","14 - 22°C"
Viesca,Coahuila de Zaragoza,Coutput/pdfs/05036,"Rango de precipitación","100 - 400 mm"
Villa Unión,Coahuila de Zaragoza,Coutput/pdfs/05037,"Rango de temperatura","20 - 24°C"
