municipality,state,code,variable,min_precipitation,max_precipitation
Villa Unión,Coahuila de Zaragoza,Coutput/pdfs/05037,"Rango de precipitación","300,500 "
Zaragoza,Coahuila de Zaragoza,Coutput/pdfs/05038,"Rango de precipitación","200,600 "
Armería,Colima,Coutput/pdfs/06001,"Rango de precipitación","600,1"
Colima,Colima,Coutput/pdfs/06002,"Rango de precipitación","600,1300 "
Comala,Colima,Coutput/pdfs/06003,"Rango de precipitación","800,1300 "
Coquimatlán,Colima,Coutput/pdfs/06004,"Rango de precipitación","700,1100 "
Cuauhtémoc,Colima,Coutput/pdfs/06005,"Rango de precipitación","800,1300 "
Ixtlahuacán,Colima,Coutput/pdfs/06006,"Rango de precipitación","600,1000 "
Manzanillo,Colima,Coutput/pdfs/06007,"Rango de precipitación","600,1300 "
Minatitlán,Colima,Coutput/pdfs/06008,"Rango de precipitación","800,2000 "
Tecomán,Colima,Coutput/pdfs/06009,"Rango de precipitación","600,1100 "
Villa de Álvarez,Colima,Coutput/pdfs/06010,"Rango de precipitación","800,1300 "
Acacoyagua,Chiapas,Coutput/pdfs/07001,"Rango de precipitación","2500,4000 "
Acala,Chiapas,Coutput/pdfs/07002,"Rango de precipitación","900,1500 "
Acapetahua,Chiapas,Coutput/pdfs/07003,"Rango de precipitación","1500,3500 "
Altamirano,Chiapas,Coutput/pdfs/07004,"Rango de precipitación","1500,3000 "
Amatán,Chiapas,Coutput/pdfs/07005,"Rango de precipitación","2500,4500 "
Amatenango de la Frontera,Chiapas,Coutput/pdfs/07006,"Rango de precipitación","1000,2500 "
Amatenango del Valle,Chiapas,Coutput/pdfs/07007,"Rango de precipitación","1200,1500 "
Ángel Albino Corzo,Chiapas,Coutput/pdfs/07008,"Rango de precipitación","2000,4000 "
Arriaga,Chiapas,Coutput/pdfs/07009,"Rango de precipitación","1200,3000 "
Bejucal de Ocampo,Chiapas,Coutput/pdfs/07010,"Rango de precipitación","1000,3000 "
Bella Vista,Chiapas,Coutput/pdfs/07011,"Rango de precipitación","1200,3000 "
Berriozábal,Chiapas,Coutput/pdfs/07012,"Rango de precipitación","900,2000 "
Bochil,Chiapas,Coutput/pdfs/07013,"Rango de precipitación","900,2500 "
El Bosque,Chiapas,Coutput/pdfs/07014,"Rango de precipitación","1500,3000 "
Cacahoatán,Chiapas,Coutput/pdfs/07015,"Rango de precipitación","4000,4500 "
Catazajá,Chiapas,Coutput/pdfs/07016,"Rango de precipitación","1500,3000 "
Cintalapa,Chiapas,Coutput/pdfs/07017,"Rango de precipitación","900,3000 "
Coapilla,Chiapas,Coutput/pdfs/07018,"Rango de precipitación","1000,3500 "
Comitán de Domínguez,Chiapas,Coutput/pdfs/07019,"Rango de precipitación","900,1500 "
La Concordia,Chiapas,Coutput/pdfs/07020,"Rango de precipitación","1000,4000 "
Copainalá,Chiapas,Coutput/pdfs/07021,"Rango de precipitación","900,2500 "
Chalchihuitán,Chiapas,Coutput/pdfs/07022,"Rango de precipitación","1500,2500 "
Chamula,Chiapas,Coutput/pdfs/07023,"Rango de precipitación","1000,2000 "
Chanal,Chiapas,Coutput/pdfs/07024,"Rango de precipitación","1200,2000 "
Chapultenango,Chiapas,Coutput/pdfs/07025,"Rango de precipitación","3000,4500 "
Chenalhó,Chiapas,Coutput/pdfs/07026,"Rango de precipitación","1500,2500 "
Chiapa de Corzo,Chiapas,Coutput/pdfs/07027,"Rango de precipitación","900,1500 "
Chiapilla,Chiapas,Coutput/pdfs/07028,"Rango de precipitación","900,1500 "
Chicoasén,Chiapas,Coutput/pdfs/07029,"Rango de precipitación","900,1200 "
Chicomuselo,Chiapas,Coutput/pdfs/07030,"Rango de precipitación","1000,3500 "
Chilón,Chiapas,Coutput/pdfs/07031,"Rango de precipitación","1500,3500 "
Escuintla,Chiapas,Coutput/pdfs/07032,"Rango de precipitación","2500,4000 "
Francisco León,Chiapas,Coutput/pdfs/07033,"Rango de precipitación","2000,4500 "
Frontera Comalapa,Chiapas,Coutput/pdfs/07034,"Rango de precipitación","1000,2000 "
Frontera Hidalgo,Chiapas,Coutput/pdfs/07035,"Rango de precipitación","1200,2500 "
La Grandeza,Chiapas,Coutput/pdfs/07036,"Rango de precipitación","2000,3000 "
Huehuetán,Chiapas,Coutput/pdfs/07037,"Rango de precipitación","1500,4500 "
Huixtán,Chiapas,Coutput/pdfs/07038,"Rango de precipitación","1200,2000 "
Huitiupán,Chiapas,Coutput/pdfs/07039,"Rango de precipitación","1500,4000 "
Huixtla,Chiapas,Coutput/pdfs/07040,"Rango de precipitación","1500,4000 "
La Independencia,Chiapas,Coutput/pdfs/07041,"Rango de precipitación","900,3500 "
Ixhuatán,Chiapas,Coutput/pdfs/07042,"Rango de precipitación","3500,4500 "
Ixtacomitán,Chiapas,Coutput/pdfs/07043,"Rango de precipitación","4000,4500 "
Ixtapa,Chiapas,Coutput/pdfs/07044,"Rango de precipitación","1000,1500 "
Ixtapangajoya,Chiapas,Coutput/pdfs/07045,"Rango de precipitación","3500,4500 "
Jiquipilas,Chiapas,Coutput/pdfs/07046,"Rango de precipitación","900,3000 "
Jitotol,Chiapas,Coutput/pdfs/07047,"Rango de precipitación","1200,3000 "
Juárez,Chiapas,Coutput/pdfs/07048,"Rango de precipitación","2000,4000 "
Larráinzar,Chiapas,Coutput/pdfs/07049,"Rango de precipitación","1000,2500 "
La Libertad,Chiapas,Coutput/pdfs/07050,"Rango de precipitación","1500,3000 "
Mapastepec,Chiapas,Coutput/pdfs/07051,"Rango de precipitación","1500,4000 "
Las Margaritas,Chiapas,Coutput/pdfs/07052,"Rango de precipitación","1000,3500 "
Mazapa de Madero,Chiapas,Coutput/pdfs/07053,"Rango de precipitación","1000,4500 "
Mazatán,Chiapas,Coutput/pdfs/07054,"Rango de precipitación","1200,2000 "
Metapa,Chiapas,Coutput/pdfs/07055,"Rango de precipitación","1500,3500 "
Mitontic,Chiapas,Coutput/pdfs/07056,"Rango de precipitación","1500,2500 "
Motozintla,Chiapas,Coutput/pdfs/07057,"Rango de precipitación","1000,4500 "
Nicolás Ruíz,Chiapas,Coutput/pdfs/07058,"Rango de precipitación","1000,1500 "
Ocosingo,Chiapas,Coutput/pdfs/07059,"Rango de precipitación","1500,3500 "
Ocotepec,Chiapas,Coutput/pdfs/07060,"Rango de precipitación","2000,4000 "
Ocozocoautla de Espinosa,Chiapas,Coutput/pdfs/07061,"Rango de precipitación","900,3000 "
Ostuacán,Chiapas,Coutput/pdfs/07062,"Rango de precipitación","2500,4500 "
Osumacinta,Chiapas,Coutput/pdfs/07063,"Rango de precipitación","900,1500 "
Oxchuc,Chiapas,Coutput/pdfs/07064,"Rango de precipitación","1200,2000 "
Palenque,Chiapas,Coutput/pdfs/07065,"Rango de precipitación","1500,4500 "
Pantelhó,Chiapas,Coutput/pdfs/07066,"Rango de precipitación","1500,2500 "
Pantepec,Chiapas,Coutput/pdfs/07067,"Rango de precipitación","1200,4500 "
Pichucalco,Chiapas,Coutput/pdfs/07068,"Rango de precipitación","2500,4500 "
Pijijiapan,Chiapas,Coutput/pdfs/07069,"Rango de precipitación","1500,4000 "
El Porvenir,Chiapas,Coutput/pdfs/07070,"Rango de precipitación","1200,4000 "
Villa Comaltitlán,Chiapas,Coutput/pdfs/07071,"Rango de precipitación","1500,4000 "
Pueblo Nuevo Solistahuacán,Chiapas,Coutput/pdfs/07072,"Rango de precipitación","1500,4500 "
Rayón,Chiapas,Coutput/pdfs/07073,"Rango de precipitación","1500,4000 "
Reforma,Chiapas,Coutput/pdfs/07074,"Rango de precipitación","2000,3000 "
Las Rosas,Chiapas,Coutput/pdfs/07075,"Rango de precipitación","900,1500 "
Sabanilla,Chiapas,Coutput/pdfs/07076,"Rango de precipitación","1500,3500 "
Salto de Agua,Chiapas,Coutput/pdfs/07077,"Rango de precipitación","2500,4500 "
San Cristóbal de las Casas,Chiapas,Coutput/pdfs/07078,"Rango de precipitación","1000,1500 "
San Fernando,Chiapas,Coutput/pdfs/07079,"Rango de precipitación","900,2000 "
Siltepec,Chiapas,Coutput/pdfs/07080,"Rango de precipitación","1500,4000 "
Simojovel,Chiapas,Coutput/pdfs/07081,"Rango de precipitación","1500,2500 "
Sitalá,Chiapas,Coutput/pdfs/07082,"Rango de precipitación","2000,2500 "
Socoltenango,Chiapas,Coutput/pdfs/07083,"Rango de precipitación","900,1500 "
Solosuchiapa,Chiapas,Coutput/pdfs/07084,"Rango de precipitación","4000,5000 "
Soyaló,Chiapas,Coutput/pdfs/07085,"Rango de precipitación","800,1500 "
Suchiapa,Chiapas,Coutput/pdfs/07086,"Rango de precipitación","800,1500 "
Suchiate,Chiapas,Coutput/pdfs/07087,"Rango de precipitación","1000,2000 "
Sunuapa,Chiapas,Coutput/pdfs/07088,"Rango de precipitación","3500,4500 "
Tapachula,Chiapas,Coutput/pdfs/07089,"Rango de precipitación","1000,5000 "
Tapalapa,Chiapas,Coutput/pdfs/07090,"Rango de precipitación","2000,4000 "
Tapilula,Chiapas,Coutput/pdfs/07091,"Rango de precipitación","2500,4000 "
Tecpatán,Chiapas,Coutput/pdfs/07092,"Rango de precipitación","1500,3500 "
Tenejapa,Chiapas,Coutput/pdfs/07093,"Rango de precipitación","1000,2500 "
Teopisca,Chiapas,Coutput/pdfs/07094,"Rango de precipitación","1000,1500 "
Tila,Chiapas,Coutput/pdfs/07096,"Rango de precipitación","1500,5000 "
Tonalá,Chiapas,Coutput/pdfs/07097,"Rango de precipitación","1200,3500 "
Totolapa,Chiapas,Coutput/pdfs/07098,"Rango de precipitación","800,1500 "
La Trinitaria,Chiapas,Coutput/pdfs/07099,"Rango de precipitación","800,3500 "
Tumbalá,Chiapas,Coutput/pdfs/07100,"Rango de precipitación","2000,5000 "
Tuxtla Gutiérrez,Chiapas,Coutput/pdfs/07101,"Rango de precipitación","800,1200 "
Tuxtla Chico,Chiapas,Coutput/pdfs/07102,"Rango de precipitación","1200,5000 "
